id,%red,%green,%blue,%black,%white,double
07 44 50.61 +47 56 23.5,0.0091552734375,1.52587890625e-05,0.005126953125,0.980926513671875,0.0047760009765625,1
07 46 20.02 +57 54 22.2,0.0058746337890625,0.0,0.0047760009765625,0.9885711669921875,0.0007781982421875,1
07 47 02.80 +27 56 41.3,0.02734375,0.0,0.0031585693359375,0.95947265625,0.0100250244140625,1
07 47 10.14 +31 56 15.4,0.02130126953125,0.0,0.0032501220703125,0.9684600830078125,0.006988525390625,1
07 47 32.39 +48 08 43.1,0.0090484619140625,0.0,0.00396728515625,0.9836883544921875,0.0032958984375,1
07 48 07.51 +50 13 04.5,0.009552001953125,0.0,0.00360107421875,0.9830474853515625,0.0037994384765625,1
07 49 21.74 +08 39 05.8,0.0190887451171875,0.0,0.0023040771484375,0.97308349609375,0.005523681640625,1
07 51 21.82 +28 58 17.8,0.0097198486328125,0.0,0.0036163330078125,0.98236083984375,0.004302978515625,1
07 52 31.57 +77 53 16.4,0.006988525390625,0.0,0.0016326904296875,0.9886016845703125,0.002777099609375,1
07 52 49.51 +82 41 43.7,0.0069732666015625,0.0,0.001495361328125,0.99066162109375,0.0008697509765625,1
07 58 36.78 +07 59 39.4,0.0193023681640625,0.0,0.0100555419921875,0.96337890625,0.00726318359375,1
07 59 00.40 +73 35 14.8,0.007720947265625,0.0,0.002410888671875,0.9855499267578125,0.0043182373046875,1
07 59 55.43 +23 43 09.5,0.0064697265625,0.0,0.0022430419921875,0.9891510009765625,0.00213623046875,1
0.44 +9.48,0.004730224609375,0.0,0.0019378662109375,0.988677978515625,0.0046539306640625,0
0.52 +40.73,0.010955810546875,0.0,0.0009002685546875,0.9839019775390625,0.004241943359375,0
0.65 +25.54,0.007781982421875,0.0,0.002777099609375,0.98291015625,0.00653076171875,0
0.74 +31.62,0.0081329345703125,0.0,0.0002288818359375,0.9894561767578125,0.0021820068359375,0
0.76 +51.96,0.0277099609375,0.0,0.0010986328125,0.9627685546875,0.0084228515625,0
1.13 +76.09,0.013580322265625,0.0,0.0013580322265625,0.9835968017578125,0.00146484375,0
1.68 +24.28,0.008544921875,1.52587890625e-05,0.00128173828125,0.9871368408203125,0.003021240234375,0
1.74 +7.65,0.00091552734375,0.0,0.001739501953125,0.9965057373046875,0.0008392333984375,0
10.93 +31.04,0.00482177734375,0.0,0.004150390625,0.9888458251953125,0.0021820068359375,0
100.26 +61.64,0.0079498291015625,0.0,0.000885009765625,0.988983154296875,0.0021820068359375,0
101.16 +77.72,0.0123748779296875,0.0,0.00189208984375,0.9814453125,0.0042877197265625,0
101.26 +65.41,0.0065765380859375,0.0,0.001739501953125,0.9900970458984375,0.0015869140625,0
101.41 -11.30,0.0014495849609375,0.0,0.018890380859375,0.9770355224609375,0.00262451171875,0
