id,red,green,blue,black,white,doble(1:yes, 0:no)
"00 01 13.19 +13 58 30.3",2190,181,2651,1012900,6268,1
"02 19 45.34 +02 28 55.5",1188,177,2690,1012585,7550,1
"01 11 58.87 +09 55 16.9",1104,184,575,1021860,467,1
"01 52 51.59 -10 33 49.8",9951,186,11519,3791302,4767,1
"04 05 57.66 +71 16 39.4",6659,177,1178,1006163,10013,1
"01 07 29.38 +02 44 08.2",503,178,1380,1020267,1862,1
"01 07 38.59 +25 57 28.2",3019,181,804,1015653,4533,1
"06 52 56.94 -00 23 55.3",11132,180,934,997230,14714,1
"03 13 01.19 +13 41 00.8",2378,183,1110,1017893,2626,1
"03 21 36.52 +19 19 33.9",384,176,409,1021955,1266,1
"04 04 55.20 +67 27 20.9",4162,178,501,1014810,4539,1
"07 18 51.66 +17 52 03.0",7114,180,265,1008362,8269,1
"02 35 23.28 -02 27 45.3",3508,182,768,1013252,6480,1
"00 51 48.49 +46 26 35.3",6121,179,822,1009695,7373,1
"03 57 39.99 +57 15 39.9",773,189,7964,1003742,11522,1
"07 57 51.37 +69 53 04.9",3623,204,1279,1016550,2534,1
"02 33 47.13 +22 23 18.9",1778,180,791,1015535,5906,1
"04 58 55.34 +06 25 53.7",5356,180,608,1013870,4176,1
"01 37 37.71 +07 08 47.5",5268,184,954,1007120,10664,1
"02 49 49.07 +39 45 50.1",826,188,3386,1014622,5168,1
"04 48 42.58 +35 11 08.2",1533,178,1878,1019504,1097,1
"06 59 14.54 +40 52 12.2",4239,178,352,1014918,4503,1
"02 52 08.25 +15 35 35.4",1358,187,1175,1015996,5474,1
"03 13 02.79 +32 53 47.2",2042,185,6694,1004208,11061,1
"02 41 11.93 +23 12 24.5",682,174,971,1020644,1719,1
"02 36 30.10 +22 15 37.1",962,180,420,1021000,1628,1
"04 11 35.32 +25 20 53.0",488,177,2983,1016097,4445,1
"07 28 20.77 +31 00 13.0",3334,180,506,1017189,2981,1
"02 01 14.22 +67 54 03.4",2631,181,1333,1016443,3602,1
"05 35 15.32 +08 24 19.3",882,184,5345,1012511,5268,1
"02 24 18.72 +63 42 57.9",5912,184,810,1009086,8198,1
"07 22 31.45 +08 49 13.0",8547,181,1423,1006299,7740,1
"06 37 34.18 +13 05 26.3",13563,181,399,997359,12688,1
"03 58 23.26 +25 39 04.2",1449,180,4651,1013447,4463,1
"07 59 55.43 +23 43 09.5",519,182,2299,1018319,2871,1
"03 50 50.19 +45 45 34.2",2724,182,2994,1012899,5391,1
"07 35 21.79 +46 00 10.1",2048,178,151,1017193,4620,1
"07 51 21.82 +28 58 17.8",1392,188,3217,1015615,3778,1
"00 14 25.30 +36 09 26.6",1162,180,394,1020608,1846,1
"07 14 06.54 +03 40 04.7",8039,183,563,1008292,7113,1
"00 09 23.68 +48 19 39.8",4541,182,706,1013778,4983,1
"04 56 12.49 +24 14 49.7",3353,179,780,1015522,4356,1
"02 00 27.66 +19 15 05.7",1115,176,1274,1018286,3339,1
"03 24 17.40 +72 22 10.8",1334,181,614,1019946,2115,1
"07 03 23.84 +01 32 20.2",780,180,12380,997295,13555,1
"07 31 57.72 +36 13 09.8",6177,181,3910,1011292,2630,1
"07 22 06.48 +03 35 10.4",12332,176,415,999510,11757,1
"04 23 15.79 +65 30 36.3",464,187,1393,1020235,1911,1
"01 02 03.20 +02 13 49.1",912,183,3440,1017025,2630,1
"04 01 27.42 +48 45 44.8",3842,178,1502,1005967,12701,1
"04 44 18.40 +03 25 49.8",7230,178,493,1009779,6510,1
"07 54 59.81 +04 45 42.6",2031,180,1114,1014395,6470,1
"03 38 50.33 +15 21 05.6",1247,183,1935,1015991,4834,1
"02 34 14.46 +09 16 02.3",509,182,509,1020951,2039,1
"00 15 19.60 +17 53 54.3",584,183,689,1020347,2387,1
"01 13 45.71 +35 41 31.7",4772,187,416,1014409,4406,1
"00 12 36.51 -04 23 18.6",2093,185,8310,3790766,16371,1
"07 30 42.71 +48 11 54.9",3243,180,1177,1017166,2424,1
"00 31 36.54 +50 57 26.4",4508,179,711,1012640,6152,1
"01 07 49.87 +70 00 39.4",437,184,5472,1008763,9334,1
"03 58 52.19 +13 42 23.3",1581,176,759,1017206,4468,1
"01 53 10.30 +09 11 26.8",1662,184,862,1019448,2034,1
"06 50 32.50 +84 53 31.9",5376,184,1902,1009898,6830,1
"00 38 34.68 +47 37 50.0",6128,185,1822,1008865,7190,1
"07 38 29.97 -03 11 29.4",11673,181,490,1005335,6511,1
"02 00 20.17 +26 36 00.1",2445,178,1914,1017678,1975,1
"05 39 09.17 +23 17 17.7",3745,185,1151,1006397,12712,1
"00 48 15.97 +33 20 34.9",823,177,885,1020207,2098,1
"00 18 03.25 -06 31 00.9",2091,192,3732,3806804,4906,1
"02 06 19.92 +45 38 03.7",8101,179,506,1005497,9907,1
"01 16 59.50 +46 53 23.4",6122,180,1452,1007906,8530,1
"01 58 25.87 +37 56 48.0",892,185,3255,1013302,6556,1
"00 01 27.47 +27 19 54.9",804,180,1230,1019798,2178,1
"05 31 09.56 +63 20 40.6",3587,187,637,1012322,7457,1
"06 00 49.77 +68 09 18.9",2186,178,2964,1017092,1770,1
"01 00 18.23 +07 57 00.8",1914,183,801,1016810,4482,1
"03 22 44.95 +10 37 24.7",954,176,1344,1021323,393,1
"02 11 11.25 +27 07 34.3",2473,179,868,1018633,2037,1
"05 23 43.65 +73 47 26.0",13696,178,571,998559,11186,1
"00 30 10.07 +50 07 45.3",691,179,3851,1014412,5057,1
"06 22 55.87 +45 17 49.0",4976,186,941,1014260,3827,1
"04 16 43.09 +24 47 13.8",2030,178,1109,1019556,1317,1
"01 27 52.37 +24 55 02.2",2297,178,1148,1012140,8427,1
"03 52 39.87 +05 32 26.9",264,178,561,1022719,468,1
"02 50 59.09 +13 17 08.0",1117,183,993,1019915,1982,1
"04 52 24.73 +12 50 21.2",177,189,1158,1021534,1132,1
"00 52 54.01 -00 38 24.9",2632,183,1614,1017065,2696,1
"04 02 53.57 +22 08 11.7",4600,179,275,1011165,7971,1
"06 10 48.30 +03 15 13.0",1051,200,867,1018441,3631,1
"07 00 10.40 +16 59 23.1",9789,182,57,1003734,10428,1
"03 17 16.45 +45 53 27.6",7109,183,4974,995882,16042,1
"06 04 02.17 +06 33 43.7",8301,181,315,1007563,7830,1
"06 52 33.18 +58 20 04.7",737,185,2730,1015665,4873,1
"00 47 07.90 -04 58 47.8",4566,181,4143,3796927,11908,1
"00 11 50.18 +39 19 36.5",3542,174,797,1011558,8119,1
"04 09 43.00 +00 06 57.0",292,182,4546,1010544,8626,1
"01 00 30.94 +09 33 09.8",1384,175,472,1020947,1212,1
"01 21 48.21 -00 10 53.0",1466,182,1363,1019341,1838,1
