id,red,green,blue,black,white,doble(1:yes 0:no)
20.06 +35.94,6,218,15,1016590,1749,0
04 33 17.84 +00 13 59.6,2621,177,924,1018078,2390,1
320.4 +0.80,1137,180,164,1015600,1497,0
03 47 20.53 +28 57 44.2,2243,187,298,1018343,3119,1
238.13 -6.45,1754,180,1275,1011421,3948,0
01 14 49.96 +43 09 06.4,5726,180,2714,1010438,5132,1
22.45 +2.55,231,200,1090,1015513,1544,0
03 32 13.39 +13 29 57.2,1181,177,1233,1017976,3623,1
206.13 -9.33,1979,182,2066,1005761,8590,0
02 50 20.53 +37 28 59.4,2381,178,1806,1015975,3850,1
318.97 -5.17,753,178,425,1016175,1047,0
05 34 44.36 +14 52 59.6,2983,178,465,1017261,3303,1
164.77 -8.25,415,176,495,1015160,2332,0
01 11 53.72 +04 52 43.3,2472,187,3913,1010903,6715,1
37.57 +57.71,1,186,6,1000861,17524,0
00 55 01.75 -07 21 35.3,3246,183,3385,3808025,2886,1
48.55 -1.85,810,192,977,1013989,2610,0
05 45 45.42 +66 38 30.2,3200,187,1595,1015742,3466,1
233.03 +1.43,566,181,390,1016507,934,0
06 37 13.06 -00 24 46.7,2044,181,3555,1008815,9595,1
10.49 +0.33,99,178,181,1017795,325,0
05 59 37.75 +58 35 34.8,4614,182,3683,1012073,3638,1
207.38 -12.17,117,176,1520,1014685,2080,0
00 53 21.16 +18 20 10.6,1375,183,1713,1019600,1319,1
3.8 -1.95,561,178,201,1016960,678,0
01 28 31.48 +09 39 56.0,699,183,2480,1017404,3424,1
277.61 -4.39,102,178,1802,1013586,2910,0
02 58 33.40 +06 45 57.2,722,187,658,1020738,1885,1
12.62 +75.40,2,190,7,1009195,9184,0
01 54 09.98 +77 12 51.2,997,180,1673,1017352,3988,1
12.75 -5.86,514,178,1191,1013861,2834,0
00 01 13.19 +13 58 30.3,2190,181,2651,1012900,6268,1
201.31 -12.17,311,179,580,1015592,1916,0
02 19 45.34 +02 28 55.5,1188,177,2690,1012585,7550,1
233.74 -7.87,425,180,341,1016634,998,0
01 11 58.87 +09 55 16.9,1104,184,575,1021860,467,1
38.61 +0.41,726,178,140,1016186,1348,0
01 52 51.59 -10 33 49.8,9951,186,11519,3791302,4767,1
96.89 -12.00,1191,186,4995,1003998,8208,0
04 05 57.66 +71 16 39.4,6659,177,1178,1006163,10013,1
117.73 -16.24,2,237,17,965546,52776,0
01 07 29.38 +02 44 08.2,503,178,1380,1020267,1862,1
194.74 -7.34,802,180,1648,1008938,7010,0
01 07 38.59 +25 57 28.2,3019,181,804,1015653,4533,1
204.65 -0.54,969,183,262,1014582,2582,0
06 52 56.94 -00 23 55.3,11132,180,934,997230,14714,1
138.83 +1.52,1754,179,563,1012200,3882,0
03 13 01.19 +13 41 00.8,2378,183,1110,1017893,2626,1
2.69 +72.07,1,209,3,1002825,15540,0
03 21 36.52 +19 19 33.9,384,176,409,1021955,1266,1
276.4 +1.00,721,179,5759,1007990,3929,0
04 04 55.20 +67 27 20.9,4162,178,501,1014810,4539,1
175.45 -7.50,150,174,303,1016537,1414,0
07 18 51.66 +17 52 03.0,7114,180,265,1008362,8269,1
156.85 -7.21,951,184,261,1011844,5338,0
02 35 23.28 -02 27 45.3,3508,182,768,1013252,6480,1
157.89 -8.22,687,173,218,1015280,2220,0
00 51 48.49 +46 26 35.3,6121,179,822,1009695,7373,1
239.42 -14.95,1027,192,1688,1011404,4267,0
03 57 39.99 +57 15 39.9,773,189,7964,1003742,11522,1
119.94 -11.00,16176,175,51,988342,13834,0
07 57 51.37 +69 53 04.9,3623,204,1279,1016550,2534,1
235.49 -1.62,365,182,1045,1015372,1614,0
02 33 47.13 +22 23 18.9,1778,180,791,1015535,5906,1
257.3 -2.78,851,179,1416,1011910,4222,0
04 58 55.34 +06 25 53.7,5356,180,608,1013870,4176,1
76.89 +3.35,3,187,2,1006854,11532,0
01 37 37.71 +07 08 47.5,5268,184,954,1007120,10664,1
28.46 -6.46,268,176,380,1017065,689,0
02 49 49.07 +39 45 50.1,826,188,3386,1014622,5168,1
82.17 -13.65,13,182,1607,1015171,1605,0
04 48 42.58 +35 11 08.2,1533,178,1878,1019504,1097,1
355.57 -0.59,48,175,89,1017925,341,0
06 59 14.54 +40 52 12.2,4239,178,352,1014918,4503,1
95.82 +17.53,2,190,4,996356,22026,0
02 52 08.25 +15 35 35.4,1358,187,1175,1015996,5474,1
327.76 -6.37,472,179,425,1016283,1219,0
03 13 02.79 +32 53 47.2,2042,185,6694,1004208,11061,1
47.8 -11.86,97,183,560,1016852,886,0
02 41 11.93 +23 12 24.5,682,174,971,1020644,1719,1
55.08 -5.55,603,181,779,1015071,1944,0
02 36 30.10 +22 15 37.1,962,180,420,1021000,1628,1
86.15 +1.75,2094,177,857,1008165,7285,0
04 11 35.32 +25 20 53.0,488,177,2983,1016097,4445,1
129.73 -7.27,1042,183,281,1014849,2223,0
07 28 20.77 +31 00 13.0,3334,180,506,1017189,2981,1
216.31 +0.69,244,179,676,1015536,1943,0
02 01 14.22 +67 54 03.4,2631,181,1333,1016443,3602,1
236.18 -7.79,1867,178,216,1012652,3665,0
05 35 15.32 +08 24 19.3,882,184,5345,1012511,5268,1
285.13 -4.30,6,186,5,956896,61485,0
02 24 18.72 +63 42 57.9,5912,184,810,1009086,8198,1
250.39 -13.19,327,175,580,1016243,1253,0
07 22 31.45 +08 49 13.0,8547,181,1423,1006299,7740,1
240.32 -14.29,1004,177,2022,1011003,4372,0
06 37 34.18 +13 05 26.3,13563,181,399,997359,12688,1
101.98 +34.02,3,207,13,1007326,11029,0
03 58 23.26 +25 39 04.2,1449,180,4651,1013447,4463,1
209.05 -5.45,573,172,716,1014856,2261,0
07 59 55.43 +23 43 09.5,519,182,2299,1018319,2871,1
171.21 -6.42,849,184,690,1015785,1070,0
03 50 50.19 +45 45 34.2,2724,182,2994,1012899,5391,1
50.34 -9.19,834,183,363,1015269,1929,0
07 35 21.79 +46 00 10.1,2048,178,151,1017193,4620,1
291.05 +0.16,7033,191,4394,978268,28692,0
07 51 21.82 +28 58 17.8,1392,188,3217,1015615,3778,1
63.36 -1.77,1079,180,757,1015108,1454,0
00 14 25.30 +36 09 26.6,1162,180,394,1020608,1846,1
32.62 -5.50,315,179,348,1017408,328,0
07 14 06.54 +03 40 04.7,8039,183,563,1008292,7113,1
263.63 +0.34,782,175,1053,1013256,3312,0
00 09 23.68 +48 19 39.8,4541,182,706,1013778,4983,1
225.89 -2.91,57,178,155,1017932,256,0
04 56 12.49 +24 14 49.7,3353,179,780,1015522,4356,1
321.86 +37.03,1,175,10,987945,30447,0
02 00 27.66 +19 15 05.7,1115,176,1274,1018286,3339,1
70.56 +3.19,840,177,283,1014253,3025,0
03 24 17.40 +72 22 10.8,1334,181,614,1019946,2115,1
90.87 -5.26,2459,179,934,1009926,5080,0
07 03 23.84 +01 32 20.2,780,180,12380,997295,13555,1
